     1→// MOT Hashcat Playground — 20 progressive challenges
     2→// All hashes are well-known public test vectors for educational use only.
     3→
     4→export type ChallengeDifficulty = "Beginner" | "Intermediate" | "Advanced";
     5→
     6→export interface Challenge {
     7→  id: number;
     8→  module: "MD5" | "SHA1" | "SHA2-256" | "WALLET.DAT";
     9→  title: string;
    10→  difficulty: ChallengeDifficulty;
    11→  scenario: string;
    12→  objective: string;
    13→  educationalContext: string;
    14→  hash?: string;
    15→  hashType?: string;
    16→  hashcatMode?: number;
    17→  hint1: string;
    18→  hint2: string;
    19→  hint3: string;
    20→  // For cracking challenges
    21→  expectedAnswer?: string;
    22→  // For mode-identification / strategy challenges
    23→  questionType: "crack" | "identify" | "strategy" | "command";
    24→  options?: string[];
    25→  expectedOption?: string;
    26→  explanation: string;
    27→  recommendedCommands: string[];
    28→  bestPractices: string[];
    29→  defenseRecommendations: string[];
    30→  xp: number;
    31→}
    32→
    33→export const CHALLENGES: Challenge[] = [
    34→  // ============= MODULE 1 — MD5 =============
    35→  {
    36→    id: 1,
    37→    module: "MD5",
    38→    title: "The Classic — Crack a Known MD5",
    39→    difficulty: "Beginner",
    40→    scenario:
    41→      "A junior SOC analyst captured an unsalted MD5 hash from a legacy authentication log during an incident response engagement. The hash is well-known and your lead has asked you to demonstrate basic hash cracking methodology using Hashcat.",
    42→    objective:
    43→      "Recover the plaintext password from the provided MD5 hash using Hashcat mode 0.",
    44→    educationalContext:
    45→      "MD5 (Message Digest 5) is a 128-bit cryptographic hash function designed by Ronald Rivest in 1991. It produces a 32-character hexadecimal digest. MD5 is considered cryptographically broken — collision attacks are practical — but it remains pervasive in legacy systems, file integrity checks, and (unfortunately) authentication. In Hashcat, MD5 corresponds to mode -m 0. Because MD5 is unsalted and extremely fast to compute (modern GPUs exceed 100 billion guesses per second), it is highly vulnerable to dictionary, brute-force, and rainbow-table attacks.",
    46→    hash: "5f4dcc3b5aa765d61d8327deb882cf99",
    47→    hashType: "MD5",
    48→    hashcatMode: 0,
    49→    hint1: "This is one of the most famous test passwords in history — it appears in nearly every wordlist as the very first entry.",
    50→    hint2: "The plaintext is 8 characters, all lowercase, and is literally the word 'password'.",
    51→    hint3: "Command: hashcat -m 0 -a 0 hash.txt rockyou.txt — the recovered password is 'password'.",
    52→    expectedAnswer: "password",
    53→    questionType: "crack",
    54→    explanation:
    55→      "The MD5 hash 5f4dcc3b5aa765d61d8327deb882cf99 is the digest of the plaintext 'password'. This is the single most common password ever recorded and appears at the top of the rockyou.txt wordlist. In Hashcat, MD5 is mode 0 (-m 0), and the straight dictionary attack (-a 0) with rockyou.txt will recover it in milliseconds. The lesson: any password found in a public wordlist is effectively unprotected when stored as unsalted MD5.",
    56→    recommendedCommands: [
    57→      "hashcat -m 0 -a 0 hash.txt rockyou.txt",
    58→      "hashcat -m 0 -a 0 hash.txt rockyou.txt --show",
    59→    ],
    60→    bestPractices: [
    61→      "Always specify the hash mode explicitly with -m to avoid misidentification.",
    62→      "Use --show to retrieve already-cracked results without re-running the attack.",
    63→      "Store hashes in a plain text file, one hash per line, with no formatting.",
    64→    ],
    65→    defenseRecommendations: [
    66→      "Migrate away from MD5 for password storage — use bcrypt, scrypt, or Argon2id.",
    67→      "Enforce password policies that reject dictionary words.",
    68→      "Implement salting and peppering to defeat rainbow-table precomputation.",
    69→    ],
    70→    xp: 100,
    71→  },
    72→  {
    73→    id: 2,
    74→    module: "MD5",
    75→    title: "Numeric Password Recovery",
    76→    difficulty: "Beginner",
    77→    scenario:
    78→      "A penetration tester obtained a database dump from a vulnerable web application. One row contains an MD5 hash that appears to correspond to a numeric PIN-style password.",
    79→    objective:
    80→      "Recover the plaintext password from the MD5 hash using a wordlist or mask attack.",
    81→    educationalContext:
    82→      "Numeric-only passwords dramatically shrink the search space. A 6-digit numeric password has only 10^6 = 1,000,000 combinations, which Hashcat can exhaust in milliseconds even on a single consumer GPU. The hash e10adc3949ba59abbe56e057f20f883e is the MD5 of '123456' — consistently ranked as the #1 most common password globally. When you suspect numeric passwords, a mask attack (?d?d?d?d?d?d) is often faster than a wordlist because Hashcat can generate candidates on-the-fly without disk I/O.",
    83→    hash: "e10adc3949ba59abbe56e057f20f883e",
    84→    hashType: "MD5",
    85→    hashcatMode: 0,
    86→    hint1: "Numeric passwords can be cracked instantly with a mask of ?d characters.",
    87→    hint2: "The password is a 6-digit ascending sequence ending in 6.",
    88→    hint3: "Mask attack: hashcat -m 0 -a 3 hash.txt ?d?d?d?d?d?d — answer is '123456'.",
    89→    expectedAnswer: "123456",
    90→    questionType: "crack",
    91→    explanation:
    92→      "The hash e10adc3949ba59abbe56e057f20f883e is the MD5 of '123456', the most popular password on the planet for over a decade. Because the password is purely numeric and only 6 characters, the entire keyspace (1 million candidates) is exhausted in well under a second. Two attack strategies work equally well here: (1) a dictionary attack using rockyou.txt, where '123456' is the very first entry, or (2) a brute-force mask attack using ?d?d?d?d?d?d. The mask attack is preferred when you have prior knowledge of the password structure.",
    93→    recommendedCommands: [
    94→      "hashcat -m 0 -a 0 hash.txt rockyou.txt",
    95→      "hashcat -m 0 -a 3 hash.txt ?d?d?d?d?d?d",
    96→    ],
    97→    bestPractices: [
    98→      "Use mask attacks (?d) for numeric passwords — they are faster than wordlists.",
    99→      "When the structure is unknown, run a small wordlist first, then escalate to masks.",
   100→      "Monitor Hashcat's status output for the 'Engine.Checksum' line to verify the wordlist loaded correctly.",
   101→    ],
   102→    defenseRecommendations: [
   103→      "Reject purely numeric passwords in your password policy.",
   104→      "Enforce a minimum length of 12 characters with mixed character classes.",
   105→      "Use a slow KDF (Argon2id with high memory cost) to make each guess expensive.",
   106→    ],
   107→    xp: 100,
   108→  },
   109→  {
   110→    id: 3,
   111→    module: "MD5",
   112→    title: "Eight-Digit Numeric Hash",
   113→    difficulty: "Beginner",
   114→    scenario:
   115→      "An attacker leaked a customer credential database. One of the MD5 hashes corresponds to an 8-digit numeric password — likely a date-of-birth-style credential used by an end user.",
   116→    objective: "Recover the 8-digit numeric password using a mask attack.",
   117→    educationalContext:
   118→      "Eight-digit numeric passwords (commonly used as DDMMYYYY birthdates) have 10^8 = 100 million combinations. On a modern GPU this is exhausted in 1–2 seconds with Hashcat's mask attack. The mask ?d?d?d?d?d?d?d?d tells Hashcat to iterate over every 8-digit combination. This challenge illustrates why date-of-birth passwords are functionally equivalent to no password at all when stored with a fast hash function like MD5.",
   119→    hash: "25d55ad283aa400af464c76d713c07ad",
   120→    hashType: "MD5",
   121→    hashcatMode: 0,
   122→    hint1: "Use a mask of 8 ?d characters for a brute-force attack on the numeric space.",
   123→    hint2: "The password is the ascending sequence 1 through 8.",
   124→    hint3: "hashcat -m 0 -a 3 hash.txt ?d?d?d?d?d?d?d?d — the answer is '12345678'.",
   125→    expectedAnswer: "12345678",
   126→    questionType: "crack",
   127→    explanation:
   128→      "The hash 25d55ad283aa400af464c76d713c07ad is the MD5 of '12345678'. With a pure numeric 8-character space, the keyspace is only 100 million — exhausted in well under a second on any modern GPU. The mask ?d?d?d?d?d?d?d?d is the canonical way to express 'eight numeric digits' in Hashcat's mask syntax. The crucial insight: passwords that are short and use only one character class (digits, lowercase, etc.) provide essentially zero protection against modern cracking hardware.",
   129→    recommendedCommands: [
   130→      "hashcat -m 0 -a 3 hash.txt ?d?d?d?d?d?d?d?d",
   131→      "hashcat -m 0 -a 3 hash.txt -1 0123456789 ?1?1?1?1?1?1?1?1",
   132→    ],
   133→    bestPractices: [
   134→      "Mask attacks generate candidates in GPU memory — they are dramatically faster than reading from disk.",
   135→      "Use -1 to define a custom character set when the password uses a restricted alphabet.",
   136→      "Always test the mask against a known plaintext first to verify syntax.",
   137→    ],
   138→    defenseRecommendations: [
   139→      "Reject passwords that match common date patterns (DDMMYYYY, MMDDYYYY).",
   140→      "Require at least three character classes (upper, lower, digit, symbol).",
   141→      "Implement breach-list checks (haveibeenpwned API) at password creation time.",
   142→    ],
   143→    xp: 120,
   144→  },
   145→  {
   146→    id: 4,
   147→    module: "MD5",
   148→    title: "Wordlist Attack Methodology",
   149→    difficulty: "Beginner",
   150→    scenario:
   151→      "You have been given a list of 50 MD5 hashes recovered from a compromised forum database. The forum used no salt. Your task is to choose the correct Hashcat attack mode for a high-yield first pass.",
   152→    objective:
   153→      "Identify the correct Hashcat attack mode (-a value) for a wordlist-based dictionary attack.",
   154→    educationalContext:
   155→      "Hashcat supports six attack modes: -a 0 (Straight / dictionary), -a 1 (Combinator — merges two wordlists), -a 3 (Brute-force / mask), -a 6 (Hybrid Wordlist + Mask), -a 7 (Hybrid Mask + Wordlist), and -a 9 (Association). For a first-pass recovery against unsalted hashes, the straight dictionary attack (-a 0) with a high-quality wordlist like rockyou.txt typically recovers 60–80% of real-world passwords in seconds. This is the foundational attack every analyst must master before moving to rules, masks, or combinator attacks.",
   156→    questionType: "identify",
   157→    options: [
   158→      "-a 0 — Straight (dictionary / wordlist)",
   159→      "-a 1 — Combinator (two wordlists merged)",
   160→      "-a 3 — Brute-force (mask)",
   161→      "-a 6 — Hybrid Wordlist + Mask",
   162→    ],
